Eurovoc_term	X0	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X60	X61	X62	X63	X64	X65	X66	X67	X68	X69	X70	X71	X72	X73	X74	X75	X76	X77	X78	X79
metrology	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
eurojust	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
consequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
shellfish	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
parental	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
responsibility	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
making	-0.007	-0.002	0.017	-0.002	-0.003	0.143	-0.004	0.008	-0.003	-0.015	-0.002	-0.003	-0.005	-0.002	-0.006	0.007	-0.003	-0.007	-0.006	-0.002	-0.003	0.002	-0.009	-0.003	-0.001	-0.005	-0.003	0.093	-0.002	0.011	-0.001	-0.003	-0.003	-0.004	-0.004	-0.004	-0.003	-0.006	-0.003	-0.004	-0.004	-0.001	-0.002	-0.005	-0.004	-0.012	0.03	-0.006	-0.002	-0.004	0.005	0	0	-0.008	-0.008	0.002	-0.001	-0.006	-0.001	-0.006	0.004	-0.002	-0.007	-0.007	-0.001	-0.003	-0.009	-0.004	-0.001	-0.004	-0.003	-0.002	-0.004	-0.003	0.009	-0.002	-0.001	-0.005	-0.007	-0.012
retraining	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
agronomic	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
extradition	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
summit	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dialogue	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
partner	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
growth	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
qualitative	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
port	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
paramilitary	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nato	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
intelligent	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
navigation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
saving	0	-0.002	-0.002	0.001	0.016	0.021	0.003	-0.003	-0.013	-0.012	0.002	-0.002	0.082	-0.002	-0.002	-0.002	-0.01	-0.006	0.007	-0.002	-0.002	-0.002	-0.007	0.008	0	0.202	-0.002	-0.005	-0.002	-0.003	-0.001	-0.003	-0.002	0.014	-0.003	0.085	-0.003	-0.005	-0.002	0.003	-0.003	-0.008	0.01	-0.004	-0.003	-0.01	-0.002	-0.001	-0.001	-0.003	0.001	0.006	-0.002	-0.006	-0.004	-0.002	-0.001	-0.004	0.017	0.002	-0.007	-0.007	-0.004	-0.001	-0.001	-0.002	-0.012	-0.003	-0.001	0.021	-0.002	-0.002	-0.003	0	0.006	-0.002	-0.001	-0.004	-0.005	-0.012
escb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
leisure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
park	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
refining	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hemp	-0.003	-0.003	-0.004	-0.01	-0.004	-0.004	-0.004	-0.005	-0.014	-0.016	-0.003	-0.003	-0.006	-0.003	-0.007	0	0.009	-0.002	-0.001	-0.003	-0.004	-0.01	0.008	-0.006	-0.001	-0.001	-0.003	-0.005	-0.003	-0.005	-0.002	-0.001	-0.003	-0.005	-0.004	-0.004	-0.004	-0.007	-0.003	-0.003	-0.005	-0.014	-0.003	0.011	-0.003	-0.012	-0.002	0.008	-0.002	-0.004	-0.007	-0.003	-0.003	-0.003	-0.009	-0.006	-0.002	-0.005	0.005	0.019	0.089	-0.01	-0.006	-0.009	-0.001	-0.004	-0.014	-0.001	-0.001	-0.004	-0.004	-0.003	-0.005	-0.004	-0.009	-0.003	-0.001	-0.005	-0.008	0.071
wheat	-0.024	-0.009	-0.011	-0.029	-0.008	-0.014	-0.002	-0.015	0.069	0.01	-0.009	-0.01	-0.016	-0.007	-0.022	-0.011	-0.009	0.098	-0.031	-0.009	-0.011	-0.007	0.173	-0.018	-0.002	-0.017	-0.01	-0.041	-0.003	-0.016	-0.006	-0.028	-0.011	-0.017	-0.014	-0.014	-0.013	-0.021	-0.011	-0.014	-0.015	0.189	-0.008	-0.018	-0.011	-0.036	-0.003	0.017	-0.006	-0.014	-0.019	-0.008	-0.009	-0.02	-0.03	-0.017	-0.005	-0.021	-0.052	-0.02	-0.017	-0.033	0.012	-0.027	-0.003	-0.011	0.088	-0.016	-0.003	-0.014	-0.01	-0.009	-0.014	-0.007	-0.027	-0.009	-0.004	-0.019	0.028	-0.021
eligibility	0.036	-0.002	-0.002	0.006	-0.003	-0.003	-0.003	0.032	-0.012	-0.011	-0.002	0.015	-0.004	-0.002	0.017	-0.002	-0.021	0.005	0.006	-0.002	-0.002	-0.007	-0.006	-0.001	-0.001	0.001	-0.002	0.005	-0.002	-0.004	-0.001	0.032	-0.002	-0.004	-0.003	-0.003	-0.003	0.001	-0.002	-0.001	0.003	-0.008	-0.002	-0.004	-0.001	-0.01	-0.002	-0.005	-0.001	-0.003	-0.005	-0.002	-0.002	0.075	0.048	0.006	-0.001	-0.004	-0.013	0.026	0.029	-0.006	0.017	0.003	-0.001	-0.002	-0.013	-0.004	-0.001	-0.003	-0.002	-0.002	-0.003	0.016	-0.006	-0.002	-0.001	-0.004	-0.006	0
criterion	0.036	-0.002	-0.002	0.006	-0.003	-0.003	-0.003	0.032	-0.012	-0.011	-0.002	0.015	-0.004	-0.002	0.017	-0.002	-0.021	0.005	0.006	-0.002	-0.002	-0.007	-0.006	-0.001	-0.001	0.001	-0.002	0.005	-0.002	-0.004	-0.001	0.032	-0.002	-0.004	-0.003	-0.003	-0.003	0.001	-0.002	-0.001	0.003	-0.008	-0.002	-0.004	-0.001	-0.01	-0.002	-0.005	-0.001	-0.003	-0.005	-0.002	-0.002	0.075	0.048	0.006	-0.001	-0.004	-0.013	0.026	0.029	-0.006	0.017	0.003	-0.001	-0.002	-0.013	-0.004	-0.001	-0.003	-0.002	-0.002	-0.003	0.016	-0.006	-0.002	-0.001	-0.004	-0.006	0
emergency	0.003	-0.002	-0.003	-0.007	-0.003	0.006	-0.004	-0.004	-0.018	-0.013	-0.002	-0.003	-0.005	-0.002	-0.005	-0.002	-0.014	-0.008	-0.002	0.01	-0.003	0.006	-0.01	-0.005	-0.001	-0.005	0.063	0.019	-0.003	-0.005	-0.002	0.048	0.013	0.006	-0.004	-0.004	-0.004	-0.006	0.003	-0.004	-0.004	-0.011	-0.002	-0.005	0.013	0.037	-0.002	0.013	-0.002	-0.004	-0.006	0.002	-0.003	-0.005	0.164	-0.005	-0.001	0.002	-0.018	-0.005	-0.01	-0.01	-0.008	-0.008	-0.001	0.012	-0.017	0.002	-0.001	0.018	-0.003	-0.003	-0.004	0.008	0.009	-0.003	-0.001	-0.006	-0.008	-0.02
restrictive	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
practice	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
direct	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
solvency	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
suspension	-0.008	0.013	-0.006	0.005	0.018	-0.003	0.019	-0.008	-0.008	0.049	-0.004	-0.005	-0.008	-0.004	-0.003	-0.004	-0.005	-0.005	-0.005	-0.005	0	-0.013	0.013	-0.008	-0.001	0.066	-0.005	-0.006	0.004	-0.009	-0.003	-0.017	-0.006	-0.007	-0.003	-0.007	-0.007	0.001	-0.006	-0.006	-0.007	-0.012	-0.003	-0.009	0	-0.023	-0.004	-0.011	-0.003	0.177	-0.009	-0.004	-0.003	0.013	-0.015	-0.006	-0.003	-0.009	-0.018	-0.012	-0.012	-0.018	-0.008	-0.011	-0.002	0.009	-0.018	-0.008	0.043	0.012	0.003	-0.005	-0.002	-0.004	-0.003	-0.005	-0.002	-0.007	-0.013	0.015
heat	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
resisting	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
indebtedness	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
performing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
idea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zone	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
atmosphere	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
used	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
incineration	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
allergy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
channel	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
juice	-0.005	-0.002	-0.003	-0.006	-0.003	-0.003	-0.002	-0.004	-0.009	0.002	-0.002	-0.002	-0.005	-0.002	-0.001	0.006	0.009	-0.007	-0.011	-0.002	0.004	-0.002	-0.007	0	-0.001	-0.004	-0.002	-0.006	-0.002	-0.004	-0.001	0	-0.003	-0.004	-0.003	-0.003	-0.003	-0.005	-0.003	-0.003	-0.004	-0.01	0.007	-0.004	-0.003	-0.011	-0.002	-0.005	-0.002	-0.003	0.049	-0.002	-0.002	0.005	-0.007	-0.004	-0.001	-0.005	0.021	-0.005	0.032	0.003	-0.006	-0.007	-0.001	-0.003	0.009	-0.004	-0.001	-0.003	-0.003	-0.002	-0.004	-0.003	0.004	-0.002	-0.001	-0.005	0.001	0.018
cast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
attorney	0.015	-0.003	0.025	-0.01	-0.004	0.058	-0.005	-0.005	-0.02	-0.019	-0.003	0.004	-0.004	-0.003	-0.003	-0.004	-0.033	-0.009	-0.015	0.021	-0.004	0.191	-0.011	0.004	-0.001	-0.006	0.026	0.025	-0.003	0	0	-0.011	-0.003	-0.005	-0.004	-0.005	0.007	-0.007	0.002	-0.005	-0.005	-0.014	-0.003	0.027	-0.005	-0.015	-0.003	-0.007	0.008	0.008	-0.007	0.055	0.039	-0.005	0.019	0	-0.002	0.243	-0.02	-0.007	-0.007	-0.011	-0.006	-0.009	-0.001	-0.004	-0.019	0.054	-0.001	-0.005	-0.001	-0.003	-0.005	-0.004	-0.008	-0.003	-0.001	0.018	-0.008	-0.023
rodent	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dyestuff	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
liquidity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tribunal	-0.002	-0.002	-0.002	-0.006	-0.002	-0.003	-0.003	0.015	-0.013	-0.011	-0.002	0.002	-0.004	-0.002	-0.004	-0.002	-0.021	-0.003	0.021	-0.002	-0.002	-0.006	-0.007	0.007	0	-0.004	-0.002	0.038	-0.002	-0.003	-0.001	-0.003	-0.002	-0.003	-0.003	-0.003	-0.003	-0.004	-0.002	-0.002	-0.003	-0.009	-0.002	-0.004	-0.003	-0.009	-0.002	-0.004	-0.001	-0.003	-0.003	-0.002	-0.002	-0.005	-0.002	0.068	-0.001	0.07	-0.012	-0.003	-0.007	-0.007	-0.005	-0.006	-0.001	-0.002	-0.012	-0.003	-0.001	0.011	0.326	-0.002	-0.003	-0.002	-0.005	-0.002	-0.001	0.046	-0.005	-0.014
short	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
prospect	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
decontamination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
baltic	-0.008	0.011	0.001	0.006	-0.004	-0.004	-0.004	-0.006	-0.022	0.003	-0.004	-0.002	-0.008	0.005	0.009	-0.004	-0.006	0.155	-0.011	-0.004	-0.005	-0.004	-0.008	-0.008	-0.001	0.018	-0.005	-0.013	0.002	-0.007	-0.003	-0.012	-0.005	-0.007	-0.006	-0.006	-0.006	0.014	-0.005	-0.005	-0.005	-0.01	-0.004	-0.006	-0.006	0.003	-0.003	0.074	-0.003	-0.006	-0.009	-0.004	-0.004	0.06	-0.009	-0.006	-0.002	0.015	-0.02	-0.01	-0.014	-0.014	-0.006	0.078	-0.001	-0.002	-0.009	-0.007	-0.001	-0.005	-0.002	-0.004	-0.007	-0.004	-0.004	-0.004	-0.002	0.013	-0.011	0.014
democratic	-0.002	-0.002	0.004	0.002	-0.003	-0.004	0	-0.004	-0.017	-0.015	-0.002	0.001	-0.005	-0.002	-0.006	-0.003	-0.023	-0.007	0.02	-0.002	-0.003	0.03	-0.009	0.001	-0.001	-0.005	-0.003	0.019	-0.002	-0.004	-0.001	-0.008	-0.003	-0.004	-0.004	-0.004	-0.003	-0.006	0.06	-0.004	0.002	-0.009	-0.002	0	-0.002	-0.012	-0.002	-0.004	-0.002	-0.003	-0.005	0.015	-0.002	0.027	0	-0.002	-0.001	0.258	-0.016	-0.005	-0.008	-0.008	0.003	-0.007	-0.001	0.002	-0.015	0.022	-0.001	-0.004	0.03	-0.002	-0.004	-0.003	-0.005	-0.002	-0.001	-0.005	-0.006	-0.015
eutrophication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acidification	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
multinational	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
molise	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
stockpiling	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ferryboat	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
